,numero,intensitemax
0,coupe_0,-36.5250307522753
1,coupe_1,-37.615036990395765
2,coupe_2,-40.54641818630412
3,coupe_3,-33.665133152671125
4,coupe_4,-27.938126765934427
5,coupe_5,-26.535906372622282
6,coupe_6,-33.22061397267029
7,coupe_7,-30.826467120484075
8,coupe_8,-33.3737772803802
9,coupe_9,-34.26946349469172
10,coupe_10,-33.14666346553277
11,coupe_11,-32.68836444908042
12,coupe_12,-31.470205971920727
13,coupe_13,-29.17725852276131
14,coupe_14,-30.58704700208033
15,coupe_15,-30.043939083348672
16,coupe_16,-29.921654686822627
17,coupe_17,-34.91170403356849
18,coupe_18,-36.709247626705206
