,numero,intensitemax
0,coupe_0,-39.094078032543344
1,coupe_1,-48.408069383395045
2,coupe_2,-41.268601148036254
3,coupe_3,-45.12215095160773
4,coupe_4,-44.12977761124223
5,coupe_5,-46.0009214589755
6,coupe_6,-48.705027639537036
7,coupe_7,-41.835048882472314
8,coupe_8,-36.204917771430914
9,coupe_9,-32.00904868352553
10,coupe_10,-41.938229356171774
11,coupe_11,-28.186370953467016
12,coupe_12,-37.7429036343805
13,coupe_13,-29.03356623109138
14,coupe_14,-47.56686235265711
15,coupe_15,-47.6199156137766
16,coupe_16,-33.74870593218544
17,coupe_17,-36.97405742192188
18,coupe_18,-49.833753502399
