,numero,centroid
0,coupe_0,80.14395559859081
1,coupe_1,58.87240706637433
2,coupe_2,95.52342947138895
3,coupe_3,58.093213180268165
4,coupe_4,83.22162349195078
5,coupe_5,71.66926477140159
6,coupe_6,85.11317991760218
7,coupe_7,45.77241452128868
8,coupe_8,67.04136134859485
9,coupe_9,83.45647153355911
10,coupe_10,97.98219139633457
11,coupe_11,114.66812070794339
12,coupe_12,122.37092770502274
13,coupe_13,117.76029076196517
14,coupe_14,122.90966536848065
15,coupe_15,101.31273011833231
